,Tempo_Fila_1,Tempo_Servidor_1,Tempo_Fila_2,Tempo_Servidor_2,Tempo_Fila_3,Tempo_Servidor_3,Tempo_Total_Fila,Tempo_Total_Servico,Tempo_Total_Sistema
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.15924019478787915,0.0,0.48397141606009353,0.0,0.0,0.0,0.6432116108479726,0.6432116108479726
0,0.0,0.5641591050899812,0.0,0.21645378771253712,0.0,0.0,0.0,0.7806128928025183,0.7806128928025183
0,0.08999999999999808,0.12009511861471854,0.08999999999999808,1.0106262568343514,0.0,0.0,0.08999999999999808,1.13072137544907,1.220721375449068
0,0.0,0.41919425438510505,0.0,0.5871731829847511,0.0,0.0,0.0,1.0063674373698561,1.0063674373698561
0,0.009999999999999787,0.34247610537410844,0.009999999999999787,0.39255235166484403,0.0,0.0,0.009999999999999787,0.7350284570389525,0.7450284570389523
0,0.0,0.4401398890655206,0.0,0.6580982863165847,0.0,0.0,0.0,1.0982381753821053,1.0982381753821053
0,0.0,0.368725246035043,0.0,0.0,0.0,0.7081311375107979,0.0,1.076856383545841,1.076856383545841
0,0.12999999999999723,0.5725052988122898,0.0,0.0,0.12999999999999723,0.8092745172366302,0.12999999999999723,1.38177981604892,1.5117798160489173
0,0.0,0.441350040394612,0.0,1.0458313772127166,0.0,0.0,0.0,1.4871814176073286,1.4871814176073286
0,0.0,0.12898039851696902,0.0,0.31065860624200703,0.0,0.0,0.0,0.43963900475897605,0.43963900475897605
0,0.08999999999999808,0.2214626608682077,0.08999999999999808,0.587230506564759,0.0,0.0,0.08999999999999808,0.8086931674329667,0.8986931674329648
0,0.0,0.6500770907938191,0.0,0.4448680698399201,0.0,0.0,0.0,1.0949451606337393,1.0949451606337393
0,0.0,0.3422694345376894,0.0,0.0,0.0,0.41660627473515677,0.0,0.7588757092728462,0.7588757092728462
0,0.0,0.6252763795770926,0.0,0.9088845307239565,0.0,0.0,0.0,1.5341609103010492,1.5341609103010492
0,0.0,0.10037777683352539,0.0,0.0,0.0,1.4988586454401116,0.0,1.599236422273637,1.599236422273637
0,0.0,0.40517310410020135,0.0,0.9009871898475365,0.0,0.0,0.0,1.306160293947738,1.306160293947738
0,0.0,0.1818510289022398,0.0,0.34424960826157824,0.0,0.0,0.0,0.526100637163818,0.526100637163818
0,0.0,0.20178161921693294,0.0,0.3500011966203217,0.0,0.0,0.0,0.5517828158372546,0.5517828158372546
0,0.0,0.6899105494099546,0.0,0.2723574507564719,0.0,0.0,0.0,0.9622680001664264,0.9622680001664264
0,0.0,0.3314431130604034,0.0,0.3834559279722598,0.0,0.0,0.0,0.7148990410326632,0.7148990410326632
0,0.26000000000004064,0.12435466683578007,0.26000000000004064,0.18955209198261372,0.0,0.0,0.26000000000004064,0.3139067588183938,0.5739067588184344
0,0.0,0.12679794996090224,0.0,0.0,0.0,1.1544032801362285,0.0,1.2812012300971307,1.2812012300971307
0,0.8300000000001297,0.3249850351006323,0.0,0.0,0.8300000000001297,0.9111623141549327,0.8300000000001297,1.236147349255565,2.0661473492556945
0,0.0,0.6653099156043301,0.0,0.7513269838105313,0.0,0.0,0.0,1.4166368994148613,1.4166368994148613
