,Tempo_Fila_1,Tempo_Servidor_1,Tempo_Fila_2,Tempo_Servidor_2,Tempo_Fila_3,Tempo_Servidor_3,Tempo_Total_Fila,Tempo_Total_Servico,Tempo_Total_Sistema
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,1.35,1.35
0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,1.35,1.35
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.19999999999999574,0.4,0.19999999999999574,0.6,0.0,0.0,0.19999999999999574,1.0,1.1999999999999957
0,0.3999999999999915,0.4,0.3999999999999915,0.6,0.0,0.0,0.3999999999999915,1.0,1.3999999999999915
0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,1.35,1.35
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.5499999999999883,0.4,0.0,0.0,0.5499999999999883,0.95,0.5499999999999883,1.35,1.8999999999999884
0,0.19999999999999574,0.4,0.19999999999999574,0.6,0.0,0.0,0.19999999999999574,1.0,1.1999999999999957
0,1.0999999999999766,0.4,0.0,0.0,1.0999999999999766,0.95,1.0999999999999766,1.35,2.4499999999999766
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.8499999999999819,0.4,0.0,0.0,0.8499999999999819,0.95,0.8499999999999819,1.35,2.199999999999982
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,1.3999999999999702,0.4,0.0,0.0,1.3999999999999702,0.95,1.3999999999999702,1.35,2.7499999999999702
0,1.4799999999999685,0.4,0.0,0.0,1.4799999999999685,0.95,1.4799999999999685,1.35,2.8299999999999685
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,1.6299999999999653,0.4,0.0,0.0,1.6299999999999653,0.95,1.6299999999999653,1.35,2.9799999999999653
0,0.19999999999999574,0.4,0.19999999999999574,0.6,0.0,0.0,0.19999999999999574,1.0,1.1999999999999957
0,2.1799999999999535,0.4,0.0,0.0,2.1799999999999535,0.95,2.1799999999999535,1.35,3.5299999999999536
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,2.729999999999942,0.4,0.0,0.0,2.729999999999942,0.95,2.729999999999942,1.35,4.0799999999999415
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.19999999999999574,0.4,0.19999999999999574,0.6,0.0,0.0,0.19999999999999574,1.0,1.1999999999999957
0,3.27999999999993,0.4,0.0,0.0,3.27999999999993,0.95,3.27999999999993,1.35,4.62999999999993
0,0.3999999999999915,0.4,0.3999999999999915,0.6,0.0,0.0,0.3999999999999915,1.0,1.3999999999999915
0,3.0299999999999354,0.4,0.0,0.0,3.0299999999999354,0.95,3.0299999999999354,1.35,4.379999999999935
0,0.5999999999999872,0.4,0.5999999999999872,0.6,0.0,0.0,0.5999999999999872,1.0,1.5999999999999872
0,0.8000000000000451,0.4,0.8000000000000451,0.6,0.0,0.0,0.8000000000000451,1.0,1.8000000000000451
0,3.5799999999999823,0.4,0.0,0.0,3.5799999999999823,0.95,3.5799999999999823,1.35,4.929999999999982
0,1.0000000000001474,0.4,1.0000000000001474,0.6,0.0,0.0,1.0000000000001474,1.0,2.0000000000001474
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,3.730000000000148,0.4,0.0,0.0,3.730000000000148,0.95,3.730000000000148,1.35,5.0800000000001475
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,1.8800000000002939,0.4,0.0,0.0,1.8800000000002939,0.95,1.8800000000002939,1.35,3.230000000000294
0,2.43000000000038,0.4,0.0,0.0,2.43000000000038,0.95,2.43000000000038,1.35,3.78000000000038
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,2.980000000000466,0.4,0.0,0.0,2.980000000000466,0.95,2.980000000000466,1.35,4.3300000000004655
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,3.1300000000004893,0.4,0.0,0.0,3.1300000000004893,0.95,3.1300000000004893,1.35,4.480000000000489
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,3.1200000000004877,0.4,0.0,0.0,3.1200000000004877,0.95,3.1200000000004877,1.35,4.470000000000487
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,2.2100000000003455,0.4,0.0,0.0,2.2100000000003455,0.95,2.2100000000003455,1.35,3.5600000000003456
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,2.360000000000369,0.4,0.0,0.0,2.360000000000369,0.95,2.360000000000369,1.35,3.710000000000369
0,0.20000000000003126,0.4,0.20000000000003126,0.6,0.0,0.0,0.20000000000003126,1.0,1.2000000000000313
0,2.5100000000003924,0.4,0.0,0.0,2.5100000000003924,0.95,2.5100000000003924,1.35,3.8600000000003925
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.9200000000001438,0.4,0.0,0.0,0.9200000000001438,0.95,0.9200000000001438,1.35,2.270000000000144
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.5900000000000922,0.4,0.0,0.0,0.5900000000000922,0.95,0.5900000000000922,1.35,1.9400000000000923
0,0.20000000000003126,0.4,0.20000000000003126,0.6,0.0,0.0,0.20000000000003126,1.0,1.2000000000000313
0,0.0,0.4,0.0,0.0,0.0,0.95,0.0,1.35,1.35
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.15000000000002345,0.4,0.0,0.0,0.15000000000002345,0.95,0.15000000000002345,1.35,1.5000000000000235
0,0.7000000000001094,0.4,0.0,0.0,0.7000000000001094,0.95,0.7000000000001094,1.35,2.0500000000001095
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.20000000000003126,0.4,0.20000000000003126,0.6,0.0,0.0,0.20000000000003126,1.0,1.2000000000000313
0,1.2500000000001954,0.4,0.0,0.0,1.2500000000001954,0.95,1.2500000000001954,1.35,2.6000000000001955
0,0.40000000000006253,0.4,0.40000000000006253,0.6,0.0,0.0,0.40000000000006253,1.0,1.4000000000000625
0,1.8000000000002814,0.4,0.0,0.0,1.8000000000002814,0.95,1.8000000000002814,1.35,3.1500000000002815
0,0.6000000000000583,0.4,0.6000000000000583,0.6,0.0,0.0,0.6000000000000583,1.0,1.6000000000000583
0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1.0
0,0.6399999999998727,0.4,0.0,0.0,0.6399999999998727,0.95,0.6399999999998727,1.35,1.9899999999998728
0,0.1999999999999602,0.4,0.1999999999999602,0.6,0.0,0.0,0.1999999999999602,1.0,1.1999999999999602
0,1.1899999999997632,0.4,0.0,0.0,1.1899999999997632,0.95,1.1899999999997632,1.35,2.5399999999997633
